id,size,E,avgD,approx.Treewidth,Nodeconnective,diameter,cluster,max_matching,mvc,maxcut,degree_assort,attr_assort
1,10,10,2.0,2,1,7,0.0,4,5,10,-0.3580246913580259,-0.1976047904191617
2,10,13,2.6,3,1,4,0.0,4,7,13,-0.1085271317829471,-0.0833333333333333
3,10,12,2.4,2,1,4,0.1533333333333333,4,7,10,-0.0604651162790695,-0.1578947368421053
4,10,9,1.8,1,1,9,0.0,4,6,9,-0.1249999999999977,-0.1999999999999999
5,10,9,1.8,1,1,8,0.0,4,5,8,-0.3333333333333347,-0.265625
6,10,9,1.8,1,1,8,0.0,4,5,9,-0.6666666666666665,-0.208955223880597
7,10,9,1.8,1,1,8,0.0,4,6,8,-0.3333333333333347,-0.1328671328671328
8,10,10,2.0,2,1,5,0.1399999999999999,3,5,9,-0.5288220551378447,-0.0322580645161291
9,10,10,2.0,2,1,8,0.1666666666666666,4,6,9,0.1666666666666653,-0.0975609756097561
10,10,9,1.8,1,1,7,0.0,3,4,8,-0.4651162790697679,-0.2413793103448275
11,10,9,1.8,1,1,7,0.0,4,6,8,-0.4651162790697679,-0.2272727272727272
12,10,10,2.0,2,1,7,0.0,4,6,9,-0.3580246913580259,-0.2903225806451613
13,10,11,2.2,2,1,8,0.2666666666666666,4,7,10,0.4358974358974363,-0.0679611650485436
14,10,10,2.0,2,1,8,0.1666666666666666,4,7,9,0.1666666666666653,0.0476190476190475
15,10,15,3.0,3,1,4,0.4833333333333333,5,8,12,-0.0451977401129943,-0.0684931506849315
16,10,9,1.8,1,1,9,0.0,4,6,8,-0.1249999999999977,-0.1999999999999999
17,10,13,2.6,3,1,4,0.2299999999999999,4,7,11,0.0613718411552344,-0.0514705882352941
18,10,11,2.2,2,1,4,0.0,3,5,10,-0.6041666666666664,-0.2154696132596684
19,10,10,2.0,2,1,6,0.0,4,5,9,-0.3888888888888899,-0.25
20,10,11,2.2,2,1,6,0.15,4,8,10,-0.0352941176470584,0.0246305418719212
21,10,11,2.2,2,1,6,0.0833333333333333,4,6,10,0.0833333333333331,-0.0414201183431952
22,10,10,2.0,2,1,7,0.1666666666666666,4,6,9,-0.5686274509803901,0.0123456790123456
23,10,10,2.0,2,1,8,0.0,4,7,9,-0.0526315789473716,-0.1976047904191617
24,10,9,1.8,1,1,9,0.0,5,6,7,-0.1249999999999977,-0.0666666666666667
25,10,10,2.0,2,1,7,0.0,4,7,9,-0.1111111111111122,-0.25
26,10,10,2.0,2,1,7,0.0,4,6,10,-0.3580246913580259,-0.0650887573964497
27,10,9,1.8,1,1,8,0.0,4,7,9,-0.3333333333333347,-0.208955223880597
28,10,11,2.2,2,1,7,0.3,4,6,10,-0.0352941176470584,-0.1469194312796208
29,10,10,2.0,2,1,8,0.2333333333333333,5,7,8,-0.0526315789473716,-0.0778443113772455
30,10,9,1.8,1,1,7,0.0,4,8,9,-0.636363636363637,0.0078740157480314
31,10,11,2.2,2,1,6,0.2533333333333333,4,7,9,-0.3531746031746037,-0.1518324607329843
32,10,10,2.0,2,1,6,0.0,4,6,9,-0.61904761904762,0.0789473684210526
33,10,11,2.2,2,1,8,0.2,4,6,9,0.365384615384618,-0.1111111111111111
34,10,9,1.8,1,1,9,0.0,5,7,8,-0.1249999999999977,-0.1172413793103448
35,10,9,1.8,1,1,7,0.0,3,4,9,-0.4651162790697679,-0.1519999999999999
36,10,9,1.8,1,1,9,0.0,4,6,8,-0.1249999999999977,-0.1654676258992805
37,10,12,2.4,2,1,6,0.3333333333333333,4,7,9,-0.0212765957446825,-0.1803278688524591
38,10,10,2.0,2,1,7,0.15,4,5,9,-0.3829787234042555,-0.1904761904761905
39,10,9,1.8,1,1,9,0.0,4,7,7,-0.1249999999999977,-0.1489361702127659
40,10,10,2.0,2,1,6,0.15,4,6,9,-0.5238095238095235,-0.1560693641618497
41,10,9,1.8,1,1,8,0.0,4,7,9,-0.6666666666666665,-0.1162790697674418
42,10,9,1.8,1,1,8,0.0,4,6,8,-0.6666666666666665,-0.1739130434782608
43,10,15,3.0,3,1,3,0.4071428571428571,4,6,11,-0.3885505481120582,-0.1351351351351351
44,10,11,2.2,2,1,7,0.1999999999999999,4,7,9,0.3015873015873028,-0.1804878048780487
45,10,9,1.8,1,1,9,0.0,4,6,9,-0.1249999999999977,-0.1824817518248175
46,10,13,2.6,3,1,4,0.2099999999999999,3,5,12,-0.2043596730245231,-0.2426470588235294
47,10,10,2.0,2,1,7,0.1,4,6,9,0.215686274509803,-0.1299435028248587
48,10,13,2.6,2,1,4,0.38,4,7,11,-0.3122065727699533,-0.270676691729323
49,10,10,2.0,2,1,7,0.0,4,8,10,-0.3888888888888899,-0.0322580645161291
50,10,12,2.4,2,1,5,0.22,4,7,11,-0.1111111111111107,-0.1234042553191489
51,10,11,2.2,2,1,6,0.2499999999999999,5,6,9,0.1979166666666666,-0.1956521739130435
52,10,11,2.2,2,1,7,0.2333333333333333,4,6,10,0.1979166666666666,-0.1167512690355329
53,10,11,2.2,2,1,6,0.0,4,7,10,-0.0476190476190468,-0.1469194312796208
54,10,12,2.4,2,1,6,0.4,4,6,9,-0.4545454545454525,-0.1379310344827586
55,10,11,2.2,2,1,8,0.2666666666666666,4,8,9,0.4358974358974363,-0.1578947368421052
56,10,9,1.8,1,1,7,0.0,4,7,9,-0.4318181818181821,-0.0666666666666666
57,10,9,1.8,1,1,9,0.0,4,6,9,-0.1249999999999977,-0.2366412213740457
58,10,9,1.8,1,1,6,0.0,4,7,9,-0.5254237288135581,-0.1824817518248175
59,10,11,2.2,2,1,5,0.0,3,5,9,-0.7600000000000001,-0.174757281553398
60,10,10,2.0,2,1,6,0.1666666666666666,3,5,9,-0.8095238095238106,-0.1764705882352941
61,10,9,1.8,1,1,9,0.0,4,6,9,-0.1249999999999977,-0.1172413793103448
62,10,10,2.0,2,1,8,0.1666666666666666,4,6,9,0.1666666666666653,-0.2048192771084337
63,10,10,2.0,2,1,6,0.0,4,7,8,-0.1111111111111122,-0.2658227848101266
64,10,10,2.0,2,1,8,0.2333333333333333,4,6,9,-0.0526315789473716,-0.1834319526627219
65,10,9,1.8,1,1,9,0.0,5,8,7,-0.1249999999999977,-0.2
66,10,11,2.2,2,1,5,0.1833333333333333,3,5,9,-0.1827956989247307,-0.0891089108910891
67,10,9,1.8,1,1,7,0.0,4,7,8,-0.2272727272727273,0.1496062992125984
68,10,9,1.8,1,1,8,0.0,4,7,9,-0.3333333333333347,-0.1739130434782608
69,10,11,2.2,2,1,5,0.0,5,8,10,0.1538461538461552,-0.1634615384615384
70,10,11,2.2,2,1,5,0.24,3,5,10,-0.4879227053140095,-0.1123595505617977
71,10,9,1.8,1,1,8,0.0,4,7,8,-0.6666666666666665,0.0869565217391304
72,10,13,2.6,2,1,6,0.5666666666666668,3,6,11,-0.4268292682926857,-0.1496598639455782
73,10,12,2.4,2,1,5,0.2999999999999999,3,6,10,-0.2587412587412583,-0.152
74,10,10,2.0,2,1,7,0.0,4,7,10,-0.3888888888888899,-0.1494252873563218
75,10,9,1.8,1,1,9,0.0,4,8,8,-0.1249999999999977,-0.2180451127819548
76,10,10,2.0,2,1,8,0.1666666666666666,3,6,8,0.1666666666666653,-0.1180124223602484
